date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:50:56	63309/63309	---M--	200	added ('OK')	image/jpeg	date:Fri,%2013%20Dec%202019%2020:58:54%20GMT	http://duruthemes.com/demo/html/togo/onepage-dark/assets/img/team/1.jpg	C:/My%20Web%20Sites/Website%20Template/duruthemes.com/demo/html/togo/onepage-dark/assets/img/team/1.jpg	(from http://duruthemes.com/demo/html/togo/onepage-dark/)
13:50:56	135336/135336	---M--	200	added ('OK')	image/jpeg	date:Fri,%2013%20Dec%202019%2017:08:20%20GMT	http://duruthemes.com/demo/html/togo/onepage-dark/assets/img/projects/4.jpg	C:/My%20Web%20Sites/Website%20Template/duruthemes.com/demo/html/togo/onepage-dark/assets/img/projects/4.jpg	(from http://duruthemes.com/demo/html/togo/onepage-dark/)
13:50:57	14808/14808	---M-Z	200	added ('OK')	text/html	date:Tue,%2017%20Mar%202020%2011:22:04%20GMT	http://duruthemes.com/demo/html/togo/onepage-dark/post.html	C:/My%20Web%20Sites/Website%20Template/duruthemes.com/demo/html/togo/onepage-dark/post.html	(from http://duruthemes.com/demo/html/togo/onepage-dark/)
13:51:03	48983/48983	---M--	200	added ('OK')	image/jpeg	date:Fri,%2013%20Dec%202019%2017:09:27%20GMT	http://duruthemes.com/demo/html/togo/onepage-dark/assets/img/team/3.jpg	C:/My%20Web%20Sites/Website%20Template/duruthemes.com/demo/html/togo/onepage-dark/assets/img/team/3.jpg	(from http://duruthemes.com/demo/html/togo/onepage-dark/)
13:51:06	18174/18174	---M--	200	added ('OK')	image/png	date:Sat,%2014%20Dec%202019%2021:01:55%20GMT	http://duruthemes.com/demo/html/togo/onepage-dark/assets/img/clients/2.png	C:/My%20Web%20Sites/Website%20Template/duruthemes.com/demo/html/togo/onepage-dark/assets/img/clients/2.png	(from http://duruthemes.com/demo/html/togo/onepage-dark/)
13:51:07	90208/90208	---M--	200	added ('OK')	image/jpeg	date:Fri,%2013%20Dec%202019%2017:09:24%20GMT	http://duruthemes.com/demo/html/togo/onepage-dark/assets/img/team/2.jpg	C:/My%20Web%20Sites/Website%20Template/duruthemes.com/demo/html/togo/onepage-dark/assets/img/team/2.jpg	(from http://duruthemes.com/demo/html/togo/onepage-dark/)
13:51:09	15234/15234	---M--	200	added ('OK')	image/png	date:Sat,%2014%20Dec%202019%2021:01:02%20GMT	http://duruthemes.com/demo/html/togo/onepage-dark/assets/img/clients/3.png	C:/My%20Web%20Sites/Website%20Template/duruthemes.com/demo/html/togo/onepage-dark/assets/img/clients/3.png	(from http://duruthemes.com/demo/html/togo/onepage-dark/)
13:51:11	13869/13869	---M--	200	added ('OK')	image/png	date:Sat,%2014%20Dec%202019%2020:58:02%20GMT	http://duruthemes.com/demo/html/togo/onepage-dark/assets/img/clients/5.png	C:/My%20Web%20Sites/Website%20Template/duruthemes.com/demo/html/togo/onepage-dark/assets/img/clients/5.png	(from http://duruthemes.com/demo/html/togo/onepage-dark/)
13:51:11	7083/7083	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2006%20Jul%202019%2008:32:12%20GMT	http://duruthemes.com/demo/html/togo/onepage-dark/assets/js/jquery-migrate-3.0.0.min.js	C:/My%20Web%20Sites/Website%20Template/duruthemes.com/demo/html/togo/onepage-dark/assets/js/jquery-migrate-3.0.0.min.js	(from http://duruthemes.com/demo/html/togo/onepage-dark/)
13:51:13	19188/19188	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2006%20Jul%202019%2008:32:22%20GMT	http://duruthemes.com/demo/html/togo/onepage-dark/assets/js/popper.min.js	C:/My%20Web%20Sites/Website%20Template/duruthemes.com/demo/html/togo/onepage-dark/assets/js/popper.min.js	(from http://duruthemes.com/demo/html/togo/onepage-dark/)
13:51:13	86341/86341	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2006%20Jul%202019%2008:32:08%20GMT	http://duruthemes.com/demo/html/togo/onepage-dark/assets/js/jquery-3.0.0.min.js	C:/My%20Web%20Sites/Website%20Template/duruthemes.com/demo/html/togo/onepage-dark/assets/js/jquery-3.0.0.min.js	(from http://duruthemes.com/demo/html/togo/onepage-dark/)
13:51:14	2296/2296	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2016%20Aug%202019%2020:21:17%20GMT	http://duruthemes.com/demo/html/togo/onepage-dark/assets/js/scrollIt.min.js	C:/My%20Web%20Sites/Website%20Template/duruthemes.com/demo/html/togo/onepage-dark/assets/js/scrollIt.min.js	(from http://duruthemes.com/demo/html/togo/onepage-dark/)
13:51:15	9028/9028	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2006%20Jul%202019%2008:32:34%20GMT	http://duruthemes.com/demo/html/togo/onepage-dark/assets/js/jquery.waypoints.min.js	C:/My%20Web%20Sites/Website%20Template/duruthemes.com/demo/html/togo/onepage-dark/assets/js/jquery.waypoints.min.js	(from http://duruthemes.com/demo/html/togo/onepage-dark/)
13:51:15	48944/48944	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2006%20Jul%202019%2008:32:26%20GMT	http://duruthemes.com/demo/html/togo/onepage-dark/assets/js/bootstrap.min.js	C:/My%20Web%20Sites/Website%20Template/duruthemes.com/demo/html/togo/onepage-dark/assets/js/bootstrap.min.js	(from http://duruthemes.com/demo/html/togo/onepage-dark/)
13:51:16	12597/12597	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2006%20Jul%202019%2008:32:48%20GMT	http://duruthemes.com/demo/html/togo/onepage-dark/assets/js/jquery.stellar.min.js	C:/My%20Web%20Sites/Website%20Template/duruthemes.com/demo/html/togo/onepage-dark/assets/js/jquery.stellar.min.js	(from http://duruthemes.com/demo/html/togo/onepage-dark/)
13:51:16	42854/42854	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2006%20Jul%202019%2008:32:38%20GMT	http://duruthemes.com/demo/html/togo/onepage-dark/assets/js/owl.carousel.min.js	C:/My%20Web%20Sites/Website%20Template/duruthemes.com/demo/html/togo/onepage-dark/assets/js/owl.carousel.min.js	(from http://duruthemes.com/demo/html/togo/onepage-dark/)
13:51:17	2805/2805	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2006%20Jul%202019%2008:32:54%20GMT	http://duruthemes.com/demo/html/togo/onepage-dark/assets/js/YouTubePopUp.jquery.js	C:/My%20Web%20Sites/Website%20Template/duruthemes.com/demo/html/togo/onepage-dark/assets/js/YouTubePopUp.jquery.js	(from http://duruthemes.com/demo/html/togo/onepage-dark/)
13:51:17	1043/1043	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2004%20Aug%202018%2008:13:28%20GMT	http://duruthemes.com/demo/html/togo/onepage-dark/assets/js/autotype.js	C:/My%20Web%20Sites/Website%20Template/duruthemes.com/demo/html/togo/onepage-dark/assets/js/autotype.js	(from http://duruthemes.com/demo/html/togo/onepage-dark/)
13:51:17	11730/11730	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2006%20Jul%202019%2008:33:02%20GMT	http://duruthemes.com/demo/html/togo/onepage-dark/assets/js/validator.js	C:/My%20Web%20Sites/Website%20Template/duruthemes.com/demo/html/togo/onepage-dark/assets/js/validator.js	(from http://duruthemes.com/demo/html/togo/onepage-dark/)
13:51:18	12108/12108	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2009%20Dec%202019%2021:07:01%20GMT	http://duruthemes.com/demo/html/togo/onepage-dark/assets/js/bootstrap.menu.js	C:/My%20Web%20Sites/Website%20Template/duruthemes.com/demo/html/togo/onepage-dark/assets/js/bootstrap.menu.js	(from http://duruthemes.com/demo/html/togo/onepage-dark/)
